"","V1","V2"
"767","969.749144269444","969.749144269444"
"768","969.749144269444","969.749144269444"
"769","969.749144269444","969.749144269444"
"770","969.749144269444","969.749144269444"
"771","969.749144269444","969.749144269444"
"772","969.749144269444","969.749144269444"
"773","969.749144269444","969.749144269444"
"774","969.749144269444","969.749144269444"
"775","969.749144269444","969.749144269444"
"776","969.749144269444","969.749144269444"
"777","969.749144269444","969.749144269444"
"778","969.749144269444","969.749144269444"
"779","969.749144269444","969.749144269444"
"780","969.749144269444","969.749144269444"
"781","969.749144269444","969.749144269444"
"782","969.749144269444","969.749144269444"
"783","969.749144269444","969.749144269444"
"784","969.749144269444","969.749144269444"
"785","969.749144269444","969.749144269444"
"786","969.749144269444","969.749144269444"
"787","969.749144269444","969.749144269444"
"788","969.749144269444","969.749144269444"
"789","969.749144269444","969.749144269444"
"790","969.749144269444","969.749144269444"
"791","969.749144269444","969.749144269444"
"792","969.749144269444","969.749144269444"
"793","969.749144269444","969.749144269444"
"794","969.749144269444","969.749144269444"
"795","969.749144269444","969.749144269444"
"796","969.749144269444","969.749144269444"
"797","969.749144269444","969.749144269444"
"798","969.749144269444","969.749144269444"
"799","969.749144269444","969.749144269444"
"800","969.749144269444","969.749144269444"
"801","969.749144269444","969.749144269444"
"802","969.749144269444","969.749144269444"
"803","969.749144269444","969.749144269444"
"804","969.749144269444","969.749144269444"
"805","969.749144269444","969.749144269444"
"806","969.749144269444","969.749144269444"
"807","969.749144269444","969.749144269444"
"808","969.749144269444","969.749144269444"
"809","969.749144269444","969.749144269444"
"810","969.749144269444","969.749144269444"
"811","969.749144269444","969.749144269444"
"812","969.749144269444","969.749144269444"
"813","969.749144269444","969.749144269444"
"814","969.749144269444","969.749144269444"
"815","969.749144269444","969.749144269444"
"816","969.749144269444","969.749144269444"
"817","969.749144269444","969.749144269444"
"818","969.749144269444","969.749144269444"
"819","969.749144269444","969.749144269444"
"820","969.749144269444","969.749144269444"
"821","969.749144269444","969.749144269444"
"822","969.749144269444","969.749144269444"
"823","969.749144269444","969.749144269444"
"824","969.749144269444","969.749144269444"
"825","969.749144269444","969.749144269444"
"826","969.749144269444","969.749144269444"
"827","969.749144269444","969.749144269444"
"828","969.749144269444","969.749144269444"
"829","969.749144269444","969.749144269444"
"830","969.749144269444","969.749144269444"
"831","969.749144269444","969.749144269444"
"832","969.749144269444","969.749144269444"
"833","969.749144269444","969.749144269444"
"834","969.749144269444","969.749144269444"
"835","969.749144269444","969.749144269444"
"836","969.749144269444","969.749144269444"
"837","969.749144269444","969.749144269444"
"838","969.749144269444","969.749144269444"
"839","969.749144269444","969.749144269444"
"840","969.749144269444","969.749144269444"
"841","969.749144269444","969.749144269444"
"842","969.749144269444","969.749144269444"
"843","969.749144269444","969.749144269444"
"844","969.749144269444","969.749144269444"
"845","969.749144269444","969.749144269444"
"846","969.749144269444","969.749144269444"
"847","969.749144269444","969.749144269444"
"848","969.749144269444","969.749144269444"
"849","969.749144269444","969.749144269444"
"850","969.749144269444","969.749144269444"
"851","969.749144269444","969.749144269444"
"852","969.749144269444","969.749144269444"
"853","969.749144269444","969.749144269444"
"854","969.749144269444","969.749144269444"
"855","969.749144269444","969.749144269444"
"856","969.749144269444","969.749144269444"
"857","969.749144269444","969.749144269444"
"858","969.749144269444","969.749144269444"
"859","969.749144269444","969.749144269444"
"860","969.749144269444","969.749144269444"
"861","969.749144269444","969.749144269444"
"862","969.749144269444","969.749144269444"
"863","969.749144269444","969.749144269444"
"864","969.749144269444","969.749144269444"
"865","969.749144269444","969.749144269444"
"866","969.749144269444","969.749144269444"
"867","969.749144269444","969.749144269444"
"868","969.749144269444","969.749144269444"
"869","969.749144269444","969.749144269444"
"870","969.749144269444","969.749144269444"
"871","969.749144269444","969.749144269444"
"872","969.749144269444","969.749144269444"
"873","969.749144269444","969.749144269444"
"874","969.749144269444","969.749144269444"
"875","969.749144269444","969.749144269444"
"876","969.749144269444","969.749144269444"
"877","969.749144269444","969.749144269444"
"878","969.749144269444","969.749144269444"
"879","969.749144269444","969.749144269444"
"880","969.749144269444","969.749144269444"
"881","969.749144269444","969.749144269444"
"882","969.749144269444","969.749144269444"
"883","969.749144269444","969.749144269444"
"884","969.749144269444","969.749144269444"
"885","969.749144269444","969.749144269444"
"886","969.749144269444","969.749144269444"
"887","969.749144269444","969.749144269444"
"888","969.749144269444","969.749144269444"
"889","969.749144269444","969.749144269444"
"890","969.749144269444","969.749144269444"
"891","969.749144269444","969.749144269444"
"892","969.749144269444","969.749144269444"
"893","969.749144269444","969.749144269444"
"894","969.749144269444","969.749144269444"
"895","969.749144269444","969.749144269444"
"896","969.749144269444","969.749144269444"
"897","969.749144269444","969.749144269444"
"898","969.749144269444","969.749144269444"
"899","969.749144269444","969.749144269444"
"900","969.749144269444","969.749144269444"
"901","969.749144269444","969.749144269444"
"902","969.749144269444","969.749144269444"
"903","969.749144269444","969.749144269444"
"904","969.749144269444","969.749144269444"
"905","969.749144269444","969.749144269444"
"906","969.749144269444","969.749144269444"
"907","969.749144269444","969.749144269444"
"908","969.749144269444","969.749144269444"
"909","969.749144269444","969.749144269444"
"910","969.749144269444","969.749144269444"
"911","969.749144269444","969.749144269444"
"912","969.749144269444","969.749144269444"
"913","969.749144269444","969.749144269444"
"914","969.749144269444","969.749144269444"
"915","969.749144269444","969.749144269444"
"916","969.749144269444","969.749144269444"
"917","969.749144269444","969.749144269444"
"918","969.749144269444","969.749144269444"
"919","969.749144269444","969.749144269444"
"920","969.749144269444","969.749144269444"
"921","969.749144269444","969.749144269444"
"922","969.749144269444","969.749144269444"
"923","969.749144269444","969.749144269444"
"924","969.749144269444","969.749144269444"
"925","969.749144269444","969.749144269444"
"926","969.749144269444","969.749144269444"
"927","969.749144269444","969.749144269444"
"928","969.749144269444","969.749144269444"
"929","969.749144269444","969.749144269444"
"930","969.749144269444","969.749144269444"
"931","969.749144269444","969.749144269444"
"932","969.749144269444","969.749144269444"
"933","969.749144269444","969.749144269444"
"934","969.749144269444","969.749144269444"
"935","969.749144269444","969.749144269444"
"936","969.749144269444","969.749144269444"
"937","969.749144269444","969.749144269444"
"938","969.749144269444","969.749144269444"
"939","969.749144269444","969.749144269444"
"940","969.749144269444","969.749144269444"
"941","969.749144269444","969.749144269444"
"942","969.749144269444","969.749144269444"
"943","969.749144269444","969.749144269444"
"944","969.749144269444","969.749144269444"
"945","969.749144269444","969.749144269444"
"946","969.749144269444","969.749144269444"
"947","969.749144269444","969.749144269444"
"948","969.749144269444","969.749144269444"
"949","969.749144269444","969.749144269444"
"950","969.749144269444","969.749144269444"
"951","969.749144269444","969.749144269444"
"952","969.749144269444","969.749144269444"
"953","969.749144269444","969.749144269444"
"954","969.749144269444","969.749144269444"
"955","969.749144269444","969.749144269444"
"956","969.749144269444","969.749144269444"
"957","969.749144269444","969.749144269444"
"958","969.749144269444","969.749144269444"
"959","969.749144269444","969.749144269444"
"960","969.749144269444","969.749144269444"
"961","969.749144269444","969.749144269444"
"962","969.749144269444","969.749144269444"
"963","969.749144269444","969.749144269444"
"964","969.749144269444","969.749144269444"
"965","969.749144269444","969.749144269444"
"966","969.749144269444","969.749144269444"
"967","969.749144269444","969.749144269444"
"968","969.749144269444","969.749144269444"
"969","969.749144269444","969.749144269444"
"970","969.749144269444","969.749144269444"
"971","969.749144269444","969.749144269444"
"972","969.749144269444","969.749144269444"
"973","969.749144269444","969.749144269444"
"974","969.749144269444","969.749144269444"
"975","969.749144269444","969.749144269444"
"976","969.749144269444","969.749144269444"
"977","969.749144269444","969.749144269444"
"978","969.749144269444","969.749144269444"
